temperature,soft_weight,soft_train,soft_val
5,0.2,1.0,0.9877
5,0.5,0.9997,0.9888
5,0.8,0.9992,0.9875
5,0.9,0.9985,0.9856
10,0.2,1.0,0.9878
10,0.5,1.0,0.9882
10,0.8,1.0,0.9867
10,0.9,0.9995,0.9883
20,0.2,0.9999,0.9875
20,0.5,1.0,0.9875
20,0.8,1.0,0.9883
20,0.9,0.9999,0.9886
