temperature,soft_weight,soft_train,soft_val
2,0.1,0.996,0.982
2,0.5,0.9974,0.9844
2,0.8,0.9971,0.9863
2,0.9,0.9956,0.9844
20,0.1,0.9989,0.9858
20,0.5,0.9984,0.9847
20,0.8,0.9966,0.9865
20,0.9,0.9959,0.9862
50,0.1,0.9992,0.9862
50,0.5,0.9986,0.9864
50,0.8,0.9962,0.9858
50,0.9,0.9959,0.9851
